History Price / Date,CCL,CDC,CRE,D2D,DIG,DXG,HDC,HDG,HPX,IJC,ITC,KBC,KDH,LHG,NBB,NLG,NTL,NVL,PDR,SZL,TCH,TDC,TIP,TIX,VHM,VPI
6/28/2019,"3,824",,"6,927","23,644","7,080","9,900","4,810","10,848","17,424","4,523","8,497","9,969","14,149","12,911","13,644","17,879","7,456","33,156","10,314","19,435","10,719","6,421","17,588","17,680","57,932","21,848"
7/1/2019,"3,799",,"6,766","23,935","7,002","9,953","4,842","11,060","17,753","4,610","8,497","10,390","13,830","13,190","13,482","17,910","7,913","33,768","10,333","19,698","11,128","6,429","17,904","18,911","59,174","21,874"
7/2/2019,"3,894",,"6,793","23,798","6,897","9,820","4,939","11,092","17,654","4,588","8,497","10,460","13,830","13,225","13,417","17,787","7,850","33,490","10,314","19,260","11,128","6,429","17,714",,"59,247","21,848"
7/3/2019,"3,767","5,375","6,793","23,987","6,818","9,688","5,003","11,173","17,490","4,654","8,497","10,460","13,714","13,295","13,482","17,818","7,929","32,655","10,333","19,391","11,128","6,406","17,398","18,943","59,905","21,848"
7/4/2019,"3,546",,"6,753","25,666","6,975","9,741","5,003","11,125","17,523","4,741","8,774","10,530","13,714","13,470","13,287","17,756","7,960","33,267","10,333","19,960","11,102","6,337","17,841",,"62,096","22,134"
7/5/2019,"3,470","5,737","6,686","26,659","6,923","9,714","4,971","11,190","17,227","4,784","9,361","10,776","13,511","13,365","13,871","17,756","7,881","33,545","10,491","20,135","11,255","6,345","18,031","17,806","62,827","21,848"
7/8/2019,"3,710","5,737","6,686","26,385","6,871","9,661","4,890","11,336","17,095","4,806","9,914","10,811","13,395","13,295","13,806","17,726","7,850","33,490","10,393","20,179","11,334","6,368","17,714","16,985","60,635","21,562"
7/9/2019,"3,736","5,680","6,673","26,625","6,949","9,820","4,939","11,352","16,504","4,741","10,501","10,776","13,337","13,260","14,065","18,033","7,929","33,434","10,432","19,829","11,334","6,383","17,746","18,154","60,708","21,692"
7/10/2019,"3,641",,"6,659","27,002","6,871","9,661","4,939","11,385","16,767","4,741","10,432","10,741","13,337","13,749","13,968","18,064","8,102","33,823","10,511","20,661","11,361","6,406","18,980","18,943","60,928","21,718"
7/11/2019,"3,761","5,301","6,673","27,756","6,923","9,820","4,890","11,141","17,490","4,828","10,155","10,706","13,221","13,679","14,065","18,309","8,008","34,213","10,590","20,796","11,492","6,391","19,612",,"60,708","21,718"
