rank,ticker,mae_min,mae_max,mae_interval,actual_range_mean,pred_range_mean,direction_match_rate,visual_score
1,NLG,0.008860977366566658,0.006630302872508764,0.007745640119537711,0.020047515630722046,0.030656564980745316,0.75,3.748943328857422
2,NVL,0.009887909516692162,0.010580881498754025,0.010234395507723093,0.025014877319335938,0.03877747803926468,1.0,3.313652992248535
3,VPI,0.011840312741696835,0.01020048651844263,0.011020399630069733,0.024109963327646255,0.02514128014445305,0.5,3.1253061294555664
4,TCH,0.005150983110070229,0.014869346283376217,0.010010164696723223,0.025101644918322563,0.03574370965361595,0.5,3.107327461242676
5,NBB,0.02988179214298725,0.011455055326223373,0.020668423734605312,0.04431356489658356,0.04561849310994148,1.0,2.999638557434082
6,LHG,0.004617395810782909,0.012440480291843414,0.008528938051313162,0.019713541492819786,0.03283693641424179,0.5,2.9851129055023193
7,PDR,0.008687546476721764,0.017984753474593163,0.013336149975657463,0.02564147487282753,0.04686657339334488,0.75,2.7962708473205566
8,CDC,0.003746223635971546,0.005456766113638878,0.004601494874805212,0.008926097303628922,0.014179852791130543,0.75,2.745666027069092
9,CRE,0.010205994360148907,0.037482429295778275,0.02384421182796359,0.04193127900362015,0.04487261176109314,0.75,2.6377170085906982
10,TDC,0.004662364721298218,0.006391583010554314,0.005526973865926266,0.010121072642505169,0.016352694481611252,0.5,2.546215772628784
11,HPX,0.013169514015316963,0.029705747961997986,0.021437630988657475,0.0383131243288517,0.04091275483369827,0.25,2.435161590576172
12,VHM,0.0059298002161085606,0.011176509782671928,0.008553154999390244,0.01524893008172512,0.03235524147748947,1.0,2.3881683349609375
13,ITC,0.006110974587500095,0.030161947011947632,0.018136460799723864,0.031102707609534264,0.03880414366722107,0.0,2.192866802215576
14,KBC,0.012373914010822773,0.013593904674053192,0.012983909342437983,0.019872335717082024,0.028556372970342636,0.25,2.1224870681762695
15,TIX,0.027992412447929382,0.02387237548828125,0.025932393968105316,0.0424993596971035,0.05044250935316086,0.0,2.0562431812286377
16,DIG,0.022023405879735947,0.014307921752333641,0.018165663816034794,0.024775005877017975,0.03819302096962929,0.5,2.0456430912017822
17,NTL,0.021589545533061028,0.029383959248661995,0.02548675239086151,0.03347555920481682,0.039221931248903275,0.25,1.9700967073440552
18,IJC,0.01196745503693819,0.011113744229078293,0.011540599633008242,0.016221825033426285,0.01897222176194191,0.25,1.952812910079956
19,CCL,0.023307116702198982,0.023047635331749916,0.02317737601697445,0.030337706208229065,0.06656160950660706,0.75,1.951335072517395
20,D2D,0.009828900918364525,0.01483982801437378,0.012334364466369152,0.015804801136255264,0.023558905348181725,0.25,1.858353853225708
21,TIP,0.009179029613733292,0.007220045663416386,0.008199537638574839,0.010303237475454807,0.02315044403076172,0.0,1.7433704137802124
22,HDC,0.01620044745504856,0.018672438338398933,0.017436442896723747,0.021489739418029785,0.040730297565460205,0.75,1.7402609586715698
23,HDG,0.028573207557201385,0.018683088943362236,0.02362814825028181,0.02745591662824154,0.0445367768406868,0.25,1.7252000570297241
24,SZL,0.009655945003032684,0.02654358744621277,0.018099766224622726,0.019090209156274796,0.025540057569742203,0.25,1.5819945335388184
25,DXG,0.05005768686532974,0.0175529345870018,0.03380531072616577,0.03633168712258339,0.055813416838645935,0.25,1.5708510875701904
26,KDH,0.006424256134778261,0.020090969279408455,0.013257612707093358,0.011515351943671703,0.02533693239092827,0.75,1.2762011289596558
